count,count
United States of America,617
China,300
United Kingdom,50
Canada,41
India,37
Australia,26
Germany,24
Singapore,24
South Korea,17
Brazil,15
Mexico,14
Japan,14
Russia,13
Pakistan,12
Ghana,12
France,12
Ireland,11
Israel,10
Nigeria,9
New Zealand,9
Kenya,9
Cameroon,7
Argentina,7
Italy,7
Egypt,6
Mongolia,6
Nepal,6
Vietnam,6
Panama,5
Kazakhstan,5
